,tweetid,created_at,user_name,text,favourite_count,retweet_count,location,hashtags,nb_sentiment,nb_pos,nb_neg,pattern_polarity,pattern_subj,pattern_pos,Vader_scores,sentiment
0,1.30421e+18,9/10/2020 23:55,mistytaka,b'RT Anon decoder Libertards getting destroyed anywhere pop heads Qanon Maga Tesla Trump Trump2020 Trump2020Landslide htt xe2 x80 xa6',0,31,Zimbabwe,Qanon Maga Tesla Trump Trump2020 Trump2020Landslide ,negative,0.23295231336882027,0.7670476866311796,0.0,0.0,0.0,-0.4939,neutral
1,1.30421e+18,9/10/2020 23:48,Moni5010,b' MonicaLewinsky elonmusk Teslarati Tesla TeslaratiTeam Model3Owners TeslaClubBE TeslaMotorsClub xf0 x9f xa4 xa6 xf0 x9f x8f xbd xe2 x80 x8d xe2 x99 x80 xef xb8 x8fA xe2 x80 xa6',0,0,Texas,,positive,0.5,0.5,0.0,0.0,0.0,0.0,neutral
2,1.3042e+18,9/10/2020 23:44,JesseGr69932413,"b'RT TDANetwork xe2 x80 x9c Tesla xe2 x80 x99s around 10 years, Rivian xe2 x80 x99s working pickup truck well, none supply cha xe2 x80 xa6'",0,71,"Mount Dora, FL",Tesla ,negative,0.3881257267861792,0.6118742732138215,0.0,0.0,0.0,0.2732,neutral
3,1.3042e+18,9/10/2020 23:34,SANETHA888,b'RT garyblack00 Send message Buy Tesla. RBReich elonmusk',0,11,"WALLACEBURG, ONTARIO",Tesla ,positive,0.6955998528852629,0.3044001471147369,0.0,0.0,0.0,0.0,neutral
4,1.3042e+18,9/10/2020 23:31,joefiega,b'T minus 9 days never buy gas again. tesla',17,1,"Indianapolis, IN",tesla ,positive,0.6490788063770616,0.3509211936229382,-0.1,0.1,0.1,0.0,neutral
5,1.3042e+18,9/10/2020 23:29,HereIAm65094900,"b'RT TDANetwork xe2 x80 x9c Tesla xe2 x80 x99s around 10 years, Rivian xe2 x80 x99s working pickup truck well, none supply cha xe2 x80 xa6'",0,71,,Tesla ,negative,0.3881257267861792,0.6118742732138215,0.0,0.0,0.0,0.2732,neutral
6,1.3042e+18,9/10/2020 23:23,tinsaearegay,b RT torquenewsauto Tesla filed patent related Semi truck is liquid cooling. The patent says'Liquid Cooled Charging Cable Connecto xe2 x80 xa6 ,0,7,,,negative,0.2633404688201569,0.736659531179846,0.0,0.4,0.0,0.0,neutral
7,1.3042e+18,9/10/2020 23:21,tech_jdc,b'Thoughts XpengMotors xpeng vs tesla',0,0,"Salisbury, NC",xpeng tesla ,positive,0.5,0.5,0.0,0.0,0.0,0.0,neutral
8,1.3042e+18,9/10/2020 23:11,tabbypotter,b' elonmusk MonicaLewinsky brain cancer fighting awhile wan na give one try lol xe2 x80 xa6',0,0,Albuquerque,,negative,0.05160537121846397,0.9483946287815336,0.30000000000000004,0.425,0.30000000000000004,-0.6249,negative
9,1.30419e+18,9/10/2020 23:04,ricardo_ik_ahau,b'RT TTacticks Temporary shortsell nvidia stockmarket. Should got better price eyes Tesla apple xe2 x80 xa6',0,1,Benito Juárez,shortsell nvidia stockmarket price Tesla apple ,positive,0.6016134352827031,0.39838656471729694,0.5,0.5,0.5,0.4404,neutral
10,1.30419e+18,9/10/2020 22:50,TCrossmd,b'RT LabsSentinel Agent Tesla Old RAT Uses New Tricks Stay Top SentinelLabs Agent Tesla RAT infose xe2 x80 xa6',0,3,Greater Detroit Area,Agent Tesla RAT ,positive,0.8134966510020186,0.18650334899798052,0.24545454545454545,0.38484848484848483,0.24545454545454545,0.0772,neutral
11,1.30419e+18,9/10/2020 22:49,LabsSentinel,b'Agent Tesla Old RAT Uses New Tricks Stay Top SentinelLabs Agent Tesla RAT infosec PHP',2,3,United States,Agent Tesla RAT infosec PHP ,positive,0.8134966510020186,0.18650334899798096,0.24545454545454545,0.38484848484848483,0.24545454545454545,0.0772,neutral
12,1.30419e+18,9/10/2020 22:48,8muerte,b'RT garyblack00 Send message Buy Tesla. RBReich elonmusk',0,11,San Francisco,Tesla ,positive,0.6955998528852629,0.3044001471147369,0.0,0.0,0.0,0.0,neutral
13,1.30419e+18,9/10/2020 22:44,EllieBray10,b'RT Travisdleslie Just check Tesla site every model nothing available 8 14 week xf0 x9f x91 x80 tsla tesla evs ev ElectricVehicl xe2 x80 xa6',0,2,,tsla tesla evs ev ,negative,0.47194197336805,0.5280580266319512,0.4,0.4,0.4,0.0,neutral
14,1.30418e+18,9/10/2020 22:26,kit_electric,b'Never noticed before. The Tesla camera see white painted STOP sign road',0,0,NoVA,Tesla ,positive,0.7176557304853269,0.2823442695146708,0.0,0.0,0.0,-0.4466,neutral
15,1.30418e+18,9/10/2020 22:24,timpsheridan,"b' Tesla elonmusk animation neat, simply use forward facing camera? keepitsimple Tesla'",0,0,Wisconsin,keepitsimple Tesla ,positive,0.6654252021217724,0.3345747978782271,0.0,0.35714285714285715,0.0,0.4588,neutral
16,1.30418e+18,9/10/2020 22:21,tradetraderson,"b'RT TDANetwork xe2 x80 x9c Tesla xe2 x80 x99s around 10 years, Rivian xe2 x80 x99s working pickup truck well, none supply cha xe2 x80 xa6'",0,71,Everywhere and Nowhere,Tesla ,negative,0.3881257267861792,0.6118742732138215,0.0,0.0,0.0,0.2732,neutral
17,1.30418e+18,9/10/2020 22:18,jjgoldbond,b'Just one reason won xe2 x80 x99t consider buying recommending Tesla right now. The drivetrain assisted drivin xe2 x80 xa6',1,0,Cleveland,Tesla ,positive,0.8091969051684947,0.19080309483150584,0.2857142857142857,0.5357142857142857,0.2857142857142857,0.5719,positive
18,1.30418e+18,9/10/2020 22:18,FierceBadger420,b RT torquenewsauto Tesla filed patent related Semi truck is liquid cooling. The patent says'Liquid Cooled Charging Cable Connecto xe2 x80 xa6 ,0,7,,,negative,0.2633404688201569,0.736659531179846,0.0,0.4,0.0,0.0,neutral
