,tweetid,created_at,user_name,text,favourite_count,retweet_count,location,hashtags,Vader_scores,sentiment,Aditya_Sentiment,Darshan_Sentiment,Sahil_Sentiment
0,1.30E+18,9/10/20 23:55,mistytaka,b'RT Anon decoder Libertards getting destroyed anywhere pop heads Qanon Maga Tesla Trump Trump2020 Trump2020Landslide htt xe2 x80 xa6',0,31,Zimbabwe,Qanon Maga Tesla Trump Trump2020 Trump2020Landslide ,-0.4939,neutral,neutral,neutral,neutral
1,1.30E+18,9/10/20 23:48,Moni5010,b' MonicaLewinsky elonmusk Teslarati Tesla TeslaratiTeam Model3Owners TeslaClubBE TeslaMotorsClub xf0 x9f xa4 xa6 xf0 x9f x8f xbd xe2 x80 x8d xe2 x99 x80 xef xb8 x8fA xe2 x80 xa6',0,0,Texas,,0,neutral,neutral,neutral,neutral
2,1.30E+18,9/10/20 23:44,JesseGr69932413,"b'RT TDANetwork xe2 x80 x9c Tesla xe2 x80 x99s around 10 years, Rivian xe2 x80 x99s working pickup truck well, none supply cha xe2 x80 xa6'",0,71,"Mount Dora, FL",Tesla ,0.2732,neutral,neutral,neutral,neutral
3,1.30E+18,9/10/20 23:34,SANETHA888,b'RT garyblack00 Send message Buy Tesla. RBReich elonmusk',0,11,"WALLACEBURG, ONTARIO",Tesla ,0,neutral,positive,positive,positive
4,1.30E+18,9/10/20 23:31,joefiega,b'T minus 9 days never buy gas again. tesla',17,1,"Indianapolis, IN",tesla ,0,neutral,positive,positive,positive
5,1.30E+18,9/10/20 23:29,HereIAm65094900,"b'RT TDANetwork xe2 x80 x9c Tesla xe2 x80 x99s around 10 years, Rivian xe2 x80 x99s working pickup truck well, none supply cha xe2 x80 xa6'",0,71,,Tesla ,0.2732,neutral,neutral,neutral,neutral
6,1.30E+18,9/10/20 23:23,tinsaearegay,b RT torquenewsauto Tesla filed patent related Semi truck is liquid cooling. The patent says'Liquid Cooled Charging Cable Connecto xe2 x80 xa6 ,0,7,,,0,neutral,positive,positive,positive
7,1.30E+18,9/10/20 23:21,tech_jdc,b'Thoughts XpengMotors xpeng vs tesla',0,0,"Salisbury, NC",xpeng tesla ,0,neutral,neutral,neutral,neutral
8,1.30E+18,9/10/20 23:11,tabbypotter,b' elonmusk MonicaLewinsky brain cancer fighting awhile wan na give one try lol xe2 x80 xa6',0,0,Albuquerque,,-0.6249,negative,negative,negative,neutral
9,1.30E+18,9/10/20 23:04,ricardo_ik_ahau,b'RT TTacticks Temporary shortsell nvidia stockmarket. Should got better price eyes Tesla apple xe2 x80 xa6',0,1,Benito Juárez,shortsell nvidia stockmarket price Tesla apple ,0.4404,neutral,positive,positive,neutral
10,1.30E+18,9/10/20 22:50,TCrossmd,b'RT LabsSentinel Agent Tesla Old RAT Uses New Tricks Stay Top SentinelLabs Agent Tesla RAT infose xe2 x80 xa6',0,3,Greater Detroit Area,Agent Tesla RAT ,0.0772,neutral,neutral,neutral,neutral
11,1.30E+18,9/10/20 22:49,LabsSentinel,b'Agent Tesla Old RAT Uses New Tricks Stay Top SentinelLabs Agent Tesla RAT infosec PHP',2,3,United States,Agent Tesla RAT infosec PHP ,0.0772,neutral,neutral,neutral,neutral
12,1.30E+18,9/10/20 22:48,8muerte,b'RT garyblack00 Send message Buy Tesla. RBReich elonmusk',0,11,San Francisco,Tesla ,0,neutral,positive,neutral,positive
13,1.30E+18,9/10/20 22:44,EllieBray10,b'RT Travisdleslie Just check Tesla site every model nothing available 8 14 week xf0 x9f x91 x80 tsla tesla evs ev ElectricVehicl xe2 x80 xa6',0,2,,tsla tesla evs ev ,0,neutral,neutral,neutral,negative
14,1.30E+18,9/10/20 22:26,kit_electric,b'Never noticed before. The Tesla camera see white painted STOP sign road',0,0,NoVA,Tesla ,-0.4466,neutral,neutral,neutral,positive
15,1.30E+18,9/10/20 22:24,timpsheridan,"b' Tesla elonmusk animation neat, simply use forward facing camera? keepitsimple Tesla'",0,0,Wisconsin,keepitsimple Tesla ,0.4588,neutral,neutral,positive,positive
16,1.30E+18,9/10/20 22:21,tradetraderson,"b'RT TDANetwork xe2 x80 x9c Tesla xe2 x80 x99s around 10 years, Rivian xe2 x80 x99s working pickup truck well, none supply cha xe2 x80 xa6'",0,71,Everywhere and Nowhere,Tesla ,0.2732,neutral,neutral,neutral,neutral
17,1.30E+18,9/10/20 22:18,jjgoldbond,b'Just one reason won xe2 x80 x99t consider buying recommending Tesla right now. The drivetrain assisted drivin xe2 x80 xa6',1,0,Cleveland,Tesla ,0.5719,positive,positive,positive,positive
18,1.30E+18,9/10/20 22:18,FierceBadger420,b RT torquenewsauto Tesla filed patent related Semi truck is liquid cooling. The patent says'Liquid Cooled Charging Cable Connecto xe2 x80 xa6 ,0,7,,,0,neutral,positive,neutral,positive
19,1.30E+18,9/10/20 22:08,Eleanor19302501,b'RT HansLak Tesla stock price 12 why? $ 1550 stock split? Seriously? Wait battery day September to xe2 x80 xa6',0,10,,Tesla ,-0.3049,neutral,neutral,neutral,neutral
20,1.30E+18,9/10/20 22:01,EasternShoe,"b' usa losangles cars tesla arizona AUKEY Dash Cam, 1080P Dashboard'",0,0,United States,usa losangles cars tesla arizona ,0,neutral,neutral,neutral,neutral
21,1.30E+18,9/10/20 21:54,Path_Trading,b' $ TSLA TESLA Sept 10 Update Technical Analysis Chart Watch StockMarket stocks xe2 x80 xa6',2,1,"Chicago, IL",TESLA StockMarket stocks ,0,neutral,neutral,neutral,neutral
22,1.30E+18,9/10/20 21:54,Jo_Cespedes,b'RT johnrampton Elon Musk xe2 x80 x99s Net Worth Nears $ 100 Billion As Tesla Stock Burns Rubber Hayley C. Cuccinello Fo xe2 x80 xa6',0,2,,,0.2263,neutral,neutral,neutral,neutral
23,1.30E+18,9/10/20 21:54,andyblandina,b'RT johnrampton Elon Musk xe2 x80 x99s Net Worth Nears $ 100 Billion As Tesla Stock Burns Rubber Hayley C. Cuccinello Fo xe2 x80 xa6',0,2,,,0.2263,neutral,neutral,neutral,neutral
24,1.30E+18,9/10/20 21:49,johnrampton,b'Elon Musk xe2 x80 x99s Net Worth Nears $ 100 Billion As Tesla Stock Burns Rubber Hayley C. Cuccine xe2 x80 xa6',5,2,"Salt Lake City, UT",,0.2263,neutral,neutral,neutral,neutral
25,1.30E+18,9/10/20 21:46,KalemaChris,b'RT PROMOrxTeam xe2 x9d x97 xef xb8 x8f xe2 x9d x97 xef xb8 x8f xe2 x9d x97 xef xb8 x8f cybersecurity InfoSec infosecurity tesla Employee Loyalty. Wow.',0,1,"Kampala, Uganda ",cybersecurity InfoSec infosecurity tesla ,0.5423,positive,positive,positive,positive
26,1.30E+18,9/10/20 21:45,PROMOrxTeam,b' xe2 x9d x97 xef xb8 x8f xe2 x9d x97 xef xb8 x8f xe2 x9d x97 xef xb8 x8f cybersecurity InfoSec infosecurity tesla Employee Loyalty. Wow.',0,1,USA,cybersecurity InfoSec infosecurity tesla ,0.5423,positive,positive,positive,positive
27,1.30E+18,9/10/20 21:37,mattlion5555,b'It xe2 x80 x99s hilarious watching Dave Portnoy margin losing ass stock market. The day everyone knew come xe2 x80 xa6',2,0,"Texas, USA",,-0.5267,negative,negative,negative,neutral
28,1.30E+18,9/10/20 21:36,_mistabusiness,b'Thanks elonmusk everything dreamed more. Tesla',6,0,"Warrensburg, MO",Tesla ,0,neutral,neutral,neutral,positive
29,1.30E+18,9/10/20 21:24,fodo_app,b'personally think elonmusk idiot. But bashing strength TESLA stock less idiotic. xe2 x80 xa6',0,0,United States,TESLA ,-0.5279,negative,negative,negative,negative
30,1.30E+18,9/10/20 21:14,mmavonleigh,"b'RT TDANetwork xe2 x80 x9c Tesla xe2 x80 x99s around 10 years, Rivian xe2 x80 x99s working pickup truck well, none supply cha xe2 x80 xa6'",0,71,,Tesla ,0.2732,neutral,neutral,positive,positive
31,1.30E+18,9/10/20 20:58,blackP3D,b' NedCline1 MonicaLewinsky A Tesla Model 3 AWD gets equivalent 122MPG. Plus don xe2 x80 x99t go filthy g xe2 x80 xa6',2,0,"North Carolina, USA",,0,neutral,neutral,neutral,neutral
32,1.30E+18,9/10/20 20:45,WintersAggie,b' MonicaLewinsky love Tesla',0,0,United States,Tesla ,0.6369,positive,positive,positive,positive
